Object,Correct_Location,Wrong_Locations
Monopoly board game,coffee table,"['cardboard box', 'bowl', 'ottoman', 'top rack']"
graham crackers,bowl,"['cardboard box', 'coffee table', 'right cupboard', 'chest']"
toy robot,coffee table,"['cardboard box', 'bowl', 'fruit bowl', 'chair']"
windbreaker,rack,"['coffee table', 'drawer', 'floor', 'sofa']"
RC truck,drawer,"['rack', 'coffee table', 'small hamper', 'fruit bowl']"
remote control airplane,drawer,"['rack', 'coffee table', 'storage box 1', 'plate']"
The Denver Post newspaper,coffee table,"['rack', 'drawer', 'storage box 1', 'oven drawer']"
Newsweek magazine,coffee table,"['rack', 'drawer', 'mat', 'dresser']"
rain jacket,rack,"['coffee table', 'drawer', 'chair', 'side table']"
floor vase,large storage box,"['coffee table', 'cabinet', 'shelf 1', 'box']"
jar,cabinet,"['coffee table', 'large storage box', 'bin 2', 'cabinet 1']"
grapes,coffee table,"['large storage box', 'cabinet', 'closet', 'top cabinet']"
pineapple,coffee table,"['large storage box', 'cabinet', 'plate', 'storage cabinet']"
keychain,cabinet,"['coffee table', 'large storage box', 'bottom drawer', 'nightstand']"
toaster oven,large storage box,"['coffee table', 'cabinet', 'middle shelf', 'storage cabinet']"
toy drum,basket,"['small cardboard box', 'large cardboard box', 'right drawer', 'fridge']"
home movie,small cardboard box,"['large cardboard box', 'basket', 'small storage container', 'cabinet 1']"
workbook,large cardboard box,"['small cardboard box', 'basket', 'small hamper', 'hamper']"
Toy Story DVD,small cardboard box,"['large cardboard box', 'basket', 'top rack', 'left shelf']"
gardening book,large cardboard box,"['small cardboard box', 'basket', 'cabinet 1', 'large hamper']"
toy boat,basket,"['small cardboard box', 'large cardboard box', 'rack', 'coffee table']"
yoga pants,storage box 2,"['sofa', 'storage box 1', 'coffee table', 'right cupboard']"
stroopwafel,coffee table,"['sofa', 'storage box 1', 'storage box 2', 'backpack']"
Furby,storage box 1,"['sofa', 'storage box 2', 'coffee table', 'fruit bowl']"
raincoat,storage box 2,"['sofa', 'storage box 1', 'coffee table', 'shelf 2']"
toy truck,storage box 1,"['sofa', 'storage box 2', 'coffee table', 'corner']"
graphic tee,sofa,"['storage box 1', 'storage box 2', 'coffee table', 'shelf 2']"
pudding cup,coffee table,"['sofa', 'storage box 1', 'storage box 2', 'cabinet']"
long sleeve shirt,sofa,"['storage box 1', 'storage box 2', 'coffee table', 'top cabinet']"
Lego set,coffee table,"['corner', 'console table', 'basket', 'large storage box']"
mint patties,basket,"['corner', 'console table', 'coffee table', 'top drawer']"
ab wheel,corner,"['console table', 'coffee table', 'basket', 'shelf 2']"
Skittles,basket,"['corner', 'console table', 'coffee table', 'storage chest']"
jigsaw puzzle,coffee table,"['corner', 'console table', 'basket', 'desk']"
barbell,corner,"['console table', 'coffee table', 'basket', 'closet']"
graphic novel,console table,"['corner', 'coffee table', 'basket', 'middle drawer']"
business book,console table,"['corner', 'coffee table', 'basket', 'small storage chest']"
Batman action figure,shelf,"['storage cabinet', 'sofa', 'ottoman', 'small cardboard box']"
camera backpack,sofa,"['shelf', 'storage cabinet', 'ottoman', 'backpack']"
makeup bag,sofa,"['shelf', 'storage cabinet', 'ottoman', 'left cupboard']"
Kleenex box,shelf,"['storage cabinet', 'sofa', 'ottoman', 'bed']"
tank top,ottoman,"['shelf', 'storage cabinet', 'sofa', 'cabinet 1']"
soup bowl,storage cabinet,"['shelf', 'sofa', 'ottoman', 'mat']"
serving bowl,storage cabinet,"['shelf', 'sofa', 'ottoman', 'laundry basket']"
pumps,mat,"['coffee table', 'sofa', 'box', 'fireplace']"
ballet flats,mat,"['coffee table', 'sofa', 'box', 'bottom cabinet']"
painting canvas,box,"['coffee table', 'sofa', 'mat', 'fireplace']"
Bose headphones,coffee table,"['sofa', 'mat', 'box', 'stool']"
Sonos speakers,coffee table,"['sofa', 'mat', 'box', 'bowl']"
sketch book,box,"['coffee table', 'sofa', 'mat', 'bowl']"
pea coat,sofa,"['coffee table', 'mat', 'box', 'shelf']"
volleyball,storage rack,"['desk', 'storage box', 'drawer', 'bottom drawer']"
Scotch tape,desk,"['storage box', 'drawer', 'storage rack', 'small hamper']"
hammer,drawer,"['desk', 'storage box', 'storage rack', 'cardboard box']"
rollerblades,storage rack,"['desk', 'storage box', 'drawer', 'cardboard box']"
box cutter,drawer,"['desk', 'storage box', 'storage rack', 'trash can']"
hole punch,desk,"['storage box', 'drawer', 'storage rack', 'right shelf']"
chess set,storage box,"['desk', 'drawer', 'storage rack', 'small storage container']"
Connect Four,storage box,"['desk', 'drawer', 'storage rack', 'console table']"
snow pants,closet,"['bottom cabinet', 'top cabinet', 'fireplace', 'fruit bowl']"
Tamagotchi,top cabinet,"['bottom cabinet', 'fireplace', 'closet', 'small cardboard box']"
orchestra trophy,fireplace,"['bottom cabinet', 'top cabinet', 'closet', 'storage chest']"
Nerf blaster toy,top cabinet,"['bottom cabinet', 'fireplace', 'closet', 'plate']"
all-purpose cleaner,bottom cabinet,"['top cabinet', 'fireplace', 'closet', 'drawer']"
gloves,closet,"['bottom cabinet', 'top cabinet', 'fireplace', 'small storage chest']"
Mr Clean Magic Eraser,bottom cabinet,"['top cabinet', 'fireplace', 'closet', 'desk']"
art prize,fireplace,"['bottom cabinet', 'top cabinet', 'closet', 'laundry basket']"
Go Fish card game,chest,"['closet', 'cabinet', 'rack', 'side table']"
meringue cookies,side table,"['closet', 'chest', 'cabinet', 'rack']"
North Face jacket,closet,"['chest', 'cabinet', 'rack', 'side table']"
carpet cleaner,cabinet,"['closet', 'chest', 'rack', 'side table']"
nuts,side table,"['closet', 'chest', 'cabinet', 'rack']"
Adidas Cloudfoam shoes,rack,"['closet', 'chest', 'cabinet', 'side table']"
biker jacket,closet,"['chest', 'cabinet', 'rack', 'side table']"
disinfectant spray,cabinet,"['closet', 'chest', 'rack', 'side table']"
toy golf set,chest,"['closet', 'cabinet', 'rack', 'side table']"
wooden horse,right storage box,"['left storage box', 'laundry basket', 'chair', 'coffee table']"
sweatpants,laundry basket,"['left storage box', 'right storage box', 'chair', 'coffee table']"
bathrobe,laundry basket,"['left storage box', 'right storage box', 'chair', 'coffee table']"
wooden dollhouse,right storage box,"['left storage box', 'laundry basket', 'chair', 'coffee table']"
stuffed monkey,chair,"['left storage box', 'right storage box', 'laundry basket', 'coffee table']"
CamelBak bottle,coffee table,"['left storage box', 'right storage box', 'laundry basket', 'chair']"
Contigo bottle,coffee table,"['left storage box', 'right storage box', 'laundry basket', 'chair']"
Lego car,left storage box,"['right storage box', 'laundry basket', 'chair', 'coffee table']"
wedding dress,box,"['big storage chest', 'small storage chest', 'drawer', 'trash can']"
bucket hat,drawer,"['big storage chest', 'small storage chest', 'box', 'trash can']"
cowboy hat,drawer,"['big storage chest', 'small storage chest', 'box', 'trash can']"
latex glove 2,trash can,"['big storage chest', 'small storage chest', 'drawer', 'box']"
first aid kit,big storage chest,"['small storage chest', 'drawer', 'box', 'trash can']"
tent,big storage chest,"['small storage chest', 'drawer', 'box', 'trash can']"
latex glove,trash can,"['big storage chest', 'small storage chest', 'drawer', 'box']"
overalls,box,"['big storage chest', 'small storage chest', 'drawer', 'trash can']"
stuffed lion,small storage chest,"['big storage chest', 'drawer', 'box', 'trash can']"
stuffed cow,small storage chest,"['big storage chest', 'drawer', 'box', 'trash can']"
mixed fruit cup,bowl,"['console table', 'coffee table', 'shelf', 'drawer']"
smartphone,drawer,"['console table', 'coffee table', 'shelf', 'bowl']"
The Miami Herald newspaper,console table,"['coffee table', 'shelf', 'bowl', 'drawer']"
The San Francisco Chronicle newspaper,console table,"['coffee table', 'shelf', 'bowl', 'drawer']"
non-fiction book,shelf,"['console table', 'coffee table', 'bowl', 'drawer']"
science book,shelf,"['console table', 'coffee table', 'bowl', 'drawer']"
laptop,drawer,"['console table', 'coffee table', 'shelf', 'bowl']"
saltine crackers,bowl,"['console table', 'coffee table', 'shelf', 'drawer']"
Women's Health magazine,coffee table,"['console table', 'shelf', 'bowl', 'drawer']"
Elle magazine,coffee table,"['console table', 'shelf', 'bowl', 'drawer']"
bottled water,side table,"['recycling bin', 'drawer', 'desk', 'cabinet']"
Elmer's glue,desk,"['recycling bin', 'drawer', 'side table', 'cabinet']"
orange soda,side table,"['recycling bin', 'drawer', 'desk', 'cabinet']"
tape measure,cabinet,"['recycling bin', 'drawer', 'side table', 'desk']"
USA Today newspaper,recycling bin,"['drawer', 'side table', 'desk', 'cabinet']"
screwdriver,cabinet,"['recycling bin', 'drawer', 'side table', 'desk']"
toy paint set,drawer,"['recycling bin', 'side table', 'desk', 'cabinet']"
trading cards,drawer,"['recycling bin', 'side table', 'desk', 'cabinet']"
ballpoint pen,desk,"['recycling bin', 'drawer', 'side table', 'cabinet']"
travel magazine,recycling bin,"['drawer', 'side table', 'desk', 'cabinet']"
Harry Potter vinyl figure,ottoman,"['coffee table', 'side table', 'sofa', 'desk']"
fleece jacket,sofa,"['ottoman', 'coffee table', 'side table', 'desk']"
electric train set,ottoman,"['coffee table', 'side table', 'sofa', 'desk']"
Nintendo Switch,desk,"['ottoman', 'coffee table', 'side table', 'sofa']"
pasta bowl,side table,"['ottoman', 'coffee table', 'sofa', 'desk']"
Dell laptop,desk,"['ottoman', 'coffee table', 'side table', 'sofa']"
Snack Pack pudding,coffee table,"['ottoman', 'side table', 'sofa', 'desk']"
Nature Valley granola bar,coffee table,"['ottoman', 'side table', 'sofa', 'desk']"
champagne glass,side table,"['ottoman', 'coffee table', 'sofa', 'desk']"
Patagonia jacket,sofa,"['ottoman', 'coffee table', 'side table', 'desk']"
light khaki shorts,hamper,"['laundry basket', 'oven drawer', 'tray', 'top shelf']"
dark maroon scarf,laundry basket,"['hamper', 'middle drawer', 'recycling bin', 'sink']"
beige pants,hamper,"['laundry basket', 'right cabinet', 'cabinet 2', 'floor']"
charcoal gray sweater,laundry basket,"['hamper', 'dresser', 'bottom drawer', 'left shelf']"
bathing suit,closet,"['storage chest', 'bed', 'storage box 2', 'small storage container']"
shorts,closet,"['storage chest', 'drying rack', 'storage box 2', 'dresser']"
insulated pants,storage chest,"['closet', 'backpack', 'bottom shelf', 'top cabinet']"
evening gown,bed,"['laundry basket', 'bottom cabinet', 'drying rack', 'bottom drawer']"
dress pants,bed,"['laundry basket', 'big storage chest', 'left drawer', 'bottom shelf']"
cargo pants,laundry basket,"['bed', 'side table', 'fireplace', 'hanging rack']"
stained shirt,hamper,"['bed', 'tray', 'shelf', 'drawer']"
clean shorts,bed,"['hamper', 'small storage chest', 'cardboard box', 'storage box']"
dirty jacket,hamper,"['bed', 'storage box', 'right shelf', 'floor']"
fresh shirt,bed,"['hamper', 'right shelf', 'plastic bin', 'cutting board']"
bed skirt,underbed storage,"['chair', 'bucket', 'trash can', 'rack']"
blanket,underbed storage,"['chair', 'leftmost shelf', 'plate', 'plastic bin']"
down jacket,closet,"['bed', 'right drawer', 'bin 2', 'underbed storage']"
button-up shirt,bed,"['closet', 'top shelf', 'top rack', 'bucket']"
parka,closet,"['bed', 'bottom cabinet', 'oven drawer', 'left shelf']"
wool coat,chair,"['bed', 'shelf', 'cabinet', 'floor']"
daypack,shelf,"['bed', 'chair', 'cutting board', 'small hamper']"
laptop bag,shelf,"['bed', 'chair', 'right cabinet', 'plate']"
shirt,bed,"['chair', 'shelf', 'counter', 'hanging rack']"
economics textbook,backpack,"['bed', 'basket', 'right drawer', 'floor']"
leggings,bed,"['backpack', 'basket', 'bottom shelf', 'recycling bin']"
down pillow,basket,"['backpack', 'bed', 'small storage container', 'bucket']"
pencil,backpack,"['bed', 'basket', 'bin 2', 'top shelf']"
polo shirt,hamper,"['bed', 'laundry basket', 'small storage chest', 'basket']"
comforter,laundry basket,"['bed', 'hamper', 'box', 'fireplace']"
bootcut jeans,hamper,"['bed', 'laundry basket', 'console table', 'plastic bin']"
satin pillow,bed,"['laundry basket', 'hamper', 'shelf', 'right storage box']"
knitted blanket,laundry basket,"['bed', 'hamper', 'drawer', 'oven drawer']"
satin pillow 2,bed,"['laundry basket', 'hamper', 'bottom cabinet', 'console table']"
poetry book,shelf,"['desk', 'backpack', 'middle shelf', 'nightstand']"
toy scissors,shelf,"['desk', 'backpack', 'fruit bowl', 'right cupboard']"
ESPN magazine,backpack,"['shelf', 'desk', 'large cardboard box', 'plate']"
soda can,desk,"['shelf', 'backpack', 'sofa', 'trash can']"
Time magazine,backpack,"['shelf', 'desk', 'closet', 'cutting board']"
pizza slice,desk,"['shelf', 'backpack', 'large hamper', 'drawer']"
dress socks,middle drawer,"['top drawer', 'bottom drawer', 'bottom cabinet', 'storage box 1']"
driving gloves,top drawer,"['middle drawer', 'bottom drawer', 'small storage chest', 'bottom cabinet']"
flannel shirt,middle drawer,"['top drawer', 'bottom drawer', 'left cabinet', 'bottom cabinet']"
jeans,bottom drawer,"['top drawer', 'middle drawer', 'bin 2', 'storage box 1']"
thick socks,bottom drawer,"['top drawer', 'middle drawer', 'right storage box', 'shelf 2']"
baseball cap,middle drawer,"['bottom drawer', 'top drawer', 'small cardboard box', 'coffee table']"
Disney t-shirt,top drawer,"['bottom drawer', 'middle drawer', 'bottom cabinet', 'side table']"
pencil eraser,shelf,"['chair', 'desk', 'bed', 'bowl']"
Moleskine notebook,shelf,"['chair', 'desk', 'bed', 'counter']"
spinning top,desk,"['chair', 'shelf', 'bed', 'bottom drawer']"
quilt,bed,"['chair', 'shelf', 'desk', 'storage cabinet']"
bedspread,bed,"['chair', 'shelf', 'desk', 'bottom drawer']"
Magic 8 Ball,desk,"['chair', 'shelf', 'bed', 'underbed storage']"
bomber jacket,chair,"['shelf', 'desk', 'bed', 'fireplace']"
duvet cover,closet,"['top drawer', 'bottom drawer', 'storage box', 'oven drawer']"
coloring pencils,storage box,"['top drawer', 'bottom drawer', 'closet', 'cabinet 2']"
dark gray jeans,bottom drawer,"['top drawer', 'closet', 'storage box', 'stool']"
khaki pants,top drawer,"['bottom drawer', 'closet', 'storage box', 'floor']"
sketch pad,storage box,"['top drawer', 'bottom drawer', 'closet', 'storage box 1']"
white socks,top drawer,"['bottom drawer', 'closet', 'storage box', 'storage cabinet']"
black shirt,bottom drawer,"['top drawer', 'closet', 'storage box', 'bin 1']"
Roman history book,desk,"['recycling bin', 'dresser', 'storage chest', 'table']"
drawstring backpack,storage chest,"['recycling bin', 'dresser', 'desk', 'bowl']"
phone book,recycling bin,"['dresser', 'storage chest', 'desk', 'plastic box']"
paper bag,recycling bin,"['dresser', 'storage chest', 'desk', 'trash can']"
climbing backpack,storage chest,"['recycling bin', 'dresser', 'desk', 'storage box 1']"
cardigan,dresser,"['recycling bin', 'storage chest', 'desk', 'stool']"
Canada Goose jacket,closet,"['trash can', 'side table', 'chair', 'sink']"
joggers,chair,"['trash can', 'side table', 'closet', 'left cabinet']"
law book,side table,"['trash can', 'closet', 'chair', 'fruit bowl']"
caramel sauce,trash can,"['side table', 'closet', 'chair', 'dining table']"
law book 2,side table,"['trash can', 'closet', 'chair', 'tray']"
brussels sprouts,trash can,"['side table', 'closet', 'chair', 'left cabinet']"
camisole,chair,"['trash can', 'side table', 'closet', 'fireplace']"
Crocs,bottom drawer,"['bed', 'top drawer', 'shelf', 'fruit bowl']"
red dress,bed,"['bottom drawer', 'top drawer', 'shelf', 'ottoman']"
crew socks,top drawer,"['bed', 'bottom drawer', 'shelf', 'cardboard box']"
snow boots,bottom drawer,"['bed', 'top drawer', 'shelf', 'tray']"
dress shirt,shelf,"['bed', 'bottom drawer', 'top drawer', 'top rack']"
black socks,top drawer,"['bed', 'bottom drawer', 'shelf', 'large storage box']"
blue dress,bed,"['bottom drawer', 'top drawer', 'shelf', 'right cupboard']"
peach sundress,large hamper,"['small hamper', 'plastic box', 'rack', 'left cabinet']"
thermal socks,plastic box,"['large hamper', 'small hamper', 'rack', 'bottom shelf']"
burgundy blouse,small hamper,"['large hamper', 'plastic box', 'rack', 'basket']"
cross-training shoes,rack,"['large hamper', 'small hamper', 'plastic box', 'right cupboard']"
sneakers,rack,"['large hamper', 'small hamper', 'plastic box', 'table']"
light coral blouse,large hamper,"['small hamper', 'plastic box', 'rack', 'stool']"
dark plum dress,small hamper,"['large hamper', 'plastic box', 'rack', 'bucket']"
anklet,storage box,"['desk', 'closet', 'bed', 'hamper']"
dirty shorts,hamper,"['desk', 'closet', 'storage box', 'bed']"
Amazon Fire tablet,desk,"['closet', 'storage box', 'bed', 'hamper']"
clean leggings,bed,"['desk', 'closet', 'storage box', 'hamper']"
clean sweater,bed,"['desk', 'closet', 'storage box', 'hamper']"
earrings,storage box,"['desk', 'closet', 'bed', 'hamper']"
Google Pixel phone,desk,"['closet', 'storage box', 'bed', 'hamper']"
skateboard,closet,"['desk', 'storage box', 'bed', 'hamper']"
tennis racket,closet,"['desk', 'storage box', 'bed', 'hamper']"
geography textbook,desk,"['chair', 'shelf', 'drawer', 'plate']"
crossbody bag,chair,"['shelf', 'desk', 'drawer', 'plate']"
Pilot gel pen,drawer,"['chair', 'shelf', 'desk', 'plate']"
nursing textbook,desk,"['chair', 'shelf', 'drawer', 'plate']"
frozen dinner,plate,"['chair', 'shelf', 'desk', 'drawer']"
handbag,chair,"['shelf', 'desk', 'drawer', 'plate']"
instant noodles,plate,"['chair', 'shelf', 'desk', 'drawer']"
Puffs tissue box,shelf,"['chair', 'desk', 'drawer', 'plate']"
Puffs tissue box 2,shelf,"['chair', 'desk', 'drawer', 'plate']"
Bic ballpoint pen,drawer,"['chair', 'shelf', 'desk', 'plate']"
card game,storage box,"['tray', 'shelf', 'desk', 'laundry basket']"
research paper,desk,"['tray', 'shelf', 'storage box', 'laundry basket']"
linen pants,laundry basket,"['tray', 'shelf', 'storage box', 'desk']"
low-rise jeans,laundry basket,"['tray', 'shelf', 'storage box', 'desk']"
Captain America action figure,shelf,"['tray', 'storage box', 'desk', 'laundry basket']"
Fortnite action figure,shelf,"['tray', 'storage box', 'desk', 'laundry basket']"
mug,tray,"['shelf', 'storage box', 'desk', 'laundry basket']"
physics problem set,desk,"['tray', 'shelf', 'storage box', 'laundry basket']"
plastic plate,tray,"['shelf', 'storage box', 'desk', 'laundry basket']"
iPad,nightstand,"['storage chest', 'closet', 'cabinet', 'top shelf']"
graphic novel 2,top shelf,"['storage chest', 'closet', 'cabinet', 'nightstand']"
henley shirt,closet,"['storage chest', 'cabinet', 'nightstand', 'top shelf']"
Sony headphones,nightstand,"['storage chest', 'closet', 'cabinet', 'top shelf']"
cocktail dress,storage chest,"['closet', 'cabinet', 'nightstand', 'top shelf']"
Lego Duplo set,plastic box,"['top drawer', 'bottom drawer', 'closet', 'rack']"
shoulder bag,rack,"['top drawer', 'bottom drawer', 'plastic box', 'closet']"
protractor,bottom drawer,"['top drawer', 'plastic box', 'closet', 'rack']"
Tylenol,top drawer,"['bottom drawer', 'plastic box', 'closet', 'rack']"
football,closet,"['top drawer', 'bottom drawer', 'plastic box', 'rack']"
fanny pack,rack,"['top drawer', 'bottom drawer', 'plastic box', 'closet']"
baseball gloves,closet,"['top drawer', 'bottom drawer', 'plastic box', 'rack']"
dextromethorphan,top drawer,"['bottom drawer', 'plastic box', 'closet', 'rack']"
lucky bamboo,desk,"['backpack', 'shelf', 'closet', 'rack']"
anthropology textbook,shelf,"['backpack', 'closet', 'desk', 'rack']"
t-shirt,closet,"['backpack', 'shelf', 'desk', 'rack']"
history textbook,shelf,"['backpack', 'closet', 'desk', 'rack']"
stilettos,rack,"['backpack', 'shelf', 'closet', 'desk']"
Philodendron plant,desk,"['backpack', 'shelf', 'closet', 'rack']"
English essay,backpack,"['shelf', 'closet', 'desk', 'rack']"
hiking boots,rack,"['backpack', 'shelf', 'closet', 'desk']"
chemistry homework,backpack,"['shelf', 'closet', 'desk', 'rack']"
steak knife,top drawer,"['top cabinet', 'bottom shelf', 'small hamper', 'drawer']"
cereal bowl,top cabinet,"['top drawer', 'shelf 2', 'fruit bowl', 'cardboard box']"
dessert knife,top drawer,"['top cabinet', 'left storage box', 'bottom drawer', 'floor']"
dinner plate,top cabinet,"['top drawer', 'middle drawer', 'large cardboard box', 'coffee table']"
plastic knife,cabinet,"['sink', 'recycling bin', 'small storage chest', 'large storage box']"
stainless steel spoon,sink,"['cabinet', 'storage rack', 'top shelf', 'small cardboard box']"
grater,sink,"['cabinet', 'basket', 'tray', 'small storage container']"
plastic spoon,cabinet,"['sink', 'large storage box', 'trash can', 'chair']"
cheese,fridge,"['counter', 'fruit bowl', 'cabinet 1', 'cabinet']"
blueberries,counter,"['fridge', 'small storage container', 'closet', 'hamper']"
yeast,fridge,"['counter', 'large cardboard box', 'storage chest', 'dining table']"
spoon,drawer,"['bowl', 'left shelf', 'dining table', 'top drawer']"
pastry fork,drawer,"['bowl', 'fruit bowl', 'shelf 2', 'shelf']"
corn chips,bowl,"['drawer', 'fridge', 'bin 2', 'box']"
beef jerky,bowl,"['drawer', 'top drawer', 'plate', 'hanging rack']"
mini loaf pan,left cabinet,"['right cabinet', 'bin 1', 'backpack', 'left drawer']"
Dutch oven,right cabinet,"['left cabinet', 'cardboard box', 'top drawer', 'fruit bowl']"
saucepan,left cabinet,"['right cabinet', 'coffee table', 'recycling bin', 'small storage container']"
crock pot,right cabinet,"['left cabinet', 'plate', 'sofa', 'basket']"
stainless steel whisk,right cupboard,"['left cupboard', 'cabinet 1', 'bottom shelf', 'closet']"
metal tongs,right cupboard,"['left cupboard', 'small storage chest', 'big storage chest', 'middle drawer']"
porcelain mug,left cupboard,"['right cupboard', 'storage box 1', 'small storage container', 'chest']"
clay pot,left cupboard,"['right cupboard', 'rack', 'cardboard box', 'bin 1']"
fork,drawer,"['cabinet 1', 'cabinet 2', 'laundry basket', 'mat']"
stainless steel pan,cabinet 1,"['cabinet 2', 'drawer', 'bin 1', 'leftmost shelf']"
dessert plate,cabinet 2,"['cabinet 1', 'drawer', 'dining table', 'floor']"
Stanford mug,cabinet 2,"['cabinet 1', 'drawer', 'tray', 'cabinet']"
aluminum pot,cabinet 1,"['cabinet 2', 'drawer', 'leftmost shelf', 'sofa']"
butter knife,bin 1,"['trash can', 'bin 2', 'plastic bin', 'table']"
yogurt,bin 2,"['bin 1', 'trash can', 'closet', 'fireplace']"
ice cream,bin 2,"['bin 1', 'trash can', 'coffee table', 'corner']"
disposable spoon,trash can,"['bin 1', 'bin 2', 'plastic bin', 'big bowl']"
plastic cup,trash can,"['bin 1', 'bin 2', 'corner', 'left drawer']"
lemonade,fridge,"['counter', 'table', 'plastic bin', 'tray']"
candle,counter,"['table', 'fridge', 'floor', 'hamper']"
sculpture,counter,"['table', 'fridge', 'coffee table', 'cabinet']"
salad,fridge,"['counter', 'table', 'middle shelf', 'big storage chest']"
wine opener,table,"['counter', 'fridge', 'right shelf', 'dresser']"
can opener,table,"['counter', 'fridge', 'desk', 'right cupboard']"
carrots,sink,"['counter', 'cabinet', 'left storage box', 'laundry basket']"
earthenware plate,cabinet,"['counter', 'sink', 'drying rack', 'dresser']"
skillet,counter,"['sink', 'cabinet', 'big bowl', 'trash can']"
onions,sink,"['counter', 'cabinet', 'cutting board', 'oven drawer']"
cast iron pan,counter,"['sink', 'cabinet', 'left drawer', 'hanging rack']"
kale,counter,"['shelf', 'cabinet', 'bottom drawer', 'hanging rack']"
bread maker,cabinet,"['shelf', 'counter', 'left storage box', 'top rack']"
hand mixer,cabinet,"['shelf', 'counter', 'side table', 'oven drawer']"
chicken thigh,counter,"['shelf', 'cabinet', 'underbed storage', 'small hamper']"
baking soda,shelf,"['cabinet', 'counter', 'left drawer', 'big bowl']"
flour,shelf,"['cabinet', 'counter', 'cabinet 1', 'fruit bowl']"
ladle,middle drawer,"['top drawer', 'bottom drawer', 'corner', 'storage box 1']"
salad fork,top drawer,"['middle drawer', 'bottom drawer', 'fruit bowl', 'big storage chest']"
bamboo cutting board,bottom drawer,"['top drawer', 'middle drawer', 'cabinet', 'storage cabinet']"
glass cutting board,bottom drawer,"['top drawer', 'middle drawer', 'rack', 'left storage box']"
turner,middle drawer,"['top drawer', 'bottom drawer', 'left cabinet', 'rack']"
rolling pin,drawer,"['left shelf', 'right shelf', 'counter', 'storage chest']"
bread,counter,"['left shelf', 'right shelf', 'drawer', 'side table']"
oyster sauce,right shelf,"['left shelf', 'drawer', 'counter', 'cabinet 1']"
ketchup,right shelf,"['left shelf', 'drawer', 'counter', 'nightstand']"
almond flour,left shelf,"['right shelf', 'drawer', 'counter', 'storage box']"
cookie,counter,"['left shelf', 'right shelf', 'drawer', 'cutting board']"
semolina flour,left shelf,"['right shelf', 'drawer', 'counter', 'fridge']"
measuring cups,drawer,"['left shelf', 'right shelf', 'counter', 'bin 1']"
coke,fridge,"['big bowl', 'counter', 'storage box', 'rack']"
